Id,SysDate,SysTime,CompId,FinYearId,SessionId,MRQNNo,MRNNo,MRNId
2324,2018-04-13,5:07:45 PM,1,6,sapl0066,0001,0001,2433
2325,2018-04-13,5:08:34 PM,1,6,sapl0066,0002,0002,2434
2326,2018-04-16,10:34:29 AM,1,6,sapl0066,0003,0003,2435
2327,2018-04-16,10:40:50 AM,1,6,sapl0066,0004,0004,2436
2328,2018-04-17,11:27:28 AM,1,6,sapl0066,0005,0005,2437
2329,2018-04-17,11:28:56 AM,1,6,sapl0066,0006,0006,2438
2330,2018-04-17,11:31:52 AM,1,6,sapl0066,0007,0007,2439
2331,2018-04-17,11:32:22 AM,1,6,sapl0066,0008,0008,2440
2332,2018-04-18,1:57:56 PM,1,6,sapl0066,0009,0010,2442
2333,2018-04-18,6:04:25 PM,1,6,sapl0066,0010,0011,2443
2334,2018-04-19,2:54:45 PM,1,6,sapl0066,0011,0012,2444
2335,2018-04-20,4:58:15 PM,1,6,sapl0066,0012,0013,2445
2336,2018-04-23,2:10:05 PM,1,6,sapl0066,0013,0014,2446
2337,2018-05-02,12:22:48 PM,1,6,sapl0066,0014,0017,2449
2338,2018-05-02,12:23:45 PM,1,6,sapl0066,0015,0016,2448
2339,2018-05-02,12:25:04 PM,1,6,sapl0066,0016,0015,2447
2340,2018-05-02,2:16:07 PM,1,6,sapl0054,0017,0018,2450
2341,2018-05-02,2:16:38 PM,1,6,sapl0054,0018,0019,2451
2342,2018-05-02,2:19:21 PM,1,6,sapl0054,0019,0020,2452
2343,2018-05-02,2:20:57 PM,1,6,sapl0054,0020,0021,2453
2344,2018-05-02,2:21:16 PM,1,6,sapl0054,0021,0022,2454
2345,2018-05-02,2:21:30 PM,1,6,sapl0054,0022,0023,2455
2346,2018-05-02,2:21:41 PM,1,6,sapl0054,0023,0024,2456
2347,2018-05-02,2:23:02 PM,1,6,sapl0054,0024,0025,2457
2348,2018-05-02,2:23:35 PM,1,6,sapl0054,0025,0026,2458
2349,2018-05-02,2:23:45 PM,1,6,sapl0054,0026,0027,2459
2350,2018-05-02,2:23:54 PM,1,6,sapl0054,0027,0028,2460
2351,2018-05-02,2:24:06 PM,1,6,sapl0054,0028,0029,2461
2352,2018-05-02,2:30:32 PM,1,6,sapl0054,0029,0030,2462
2353,2018-05-07,11:05:58 AM,1,6,sapl0054,0030,0031,2463
2354,2018-05-11,9:21:24 AM,1,6,sapl0066,0031,0033,2465
2355,2018-05-11,9:22:17 AM,1,6,sapl0066,0032,0034,2466
2356,2018-05-11,9:23:04 AM,1,6,sapl0066,0033,0035,2467
2357,2018-05-11,9:23:19 AM,1,6,sapl0066,0034,0036,2468
2358,2018-05-11,9:25:03 AM,1,6,sapl0066,0035,0037,2469
2359,2018-05-11,9:31:28 AM,1,6,sapl0066,0036,0038,2470
2360,2018-05-11,9:33:11 AM,1,6,sapl0066,0037,0039,2471
2361,2018-05-11,9:33:48 AM,1,6,sapl0066,0038,0040,2472
2362,2018-05-11,9:39:05 AM,1,6,sapl0066,0039,0041,2473
2363,2018-05-11,9:40:36 AM,1,6,sapl0066,0040,0042,2474
2364,2018-05-11,9:42:02 AM,1,6,sapl0066,0041,0043,2475
2365,2018-05-11,9:46:15 AM,1,6,sapl0066,0042,0044,2476
2366,2018-05-11,9:46:29 AM,1,6,sapl0066,0043,0045,2477
2367,2018-05-11,9:46:52 AM,1,6,sapl0066,0044,0046,2478
2368,2018-05-11,9:47:05 AM,1,6,sapl0066,0045,0047,2479
2369,2018-05-11,10:11:44 AM,1,6,Sapl0066,0046,0048,2480
2370,2018-05-11,10:12:05 AM,1,6,Sapl0066,0047,0048,2480
2371,2018-05-11,10:12:49 AM,1,6,Sapl0066,0048,0032,2464
2372,2018-05-11,10:13:03 AM,1,6,Sapl0066,0049,0009,2441
2373,2018-05-14,3:58:10 PM,1,6,sapl0066,0050,0049,2481
2374,2018-05-15,10:26:14 AM,1,6,Sapl0066,0051,0050,2482
2375,2018-05-18,3:48:45 PM,1,6,sapl0066,0052,0053,2485
2376,2018-05-18,3:49:15 PM,1,6,sapl0066,0053,0052,2484
2377,2018-05-18,3:49:42 PM,1,6,sapl0066,0054,0051,2483
2378,2018-05-21,4:30:42 PM,1,6,sapl0066,0055,0054,2486
2379,2018-05-21,4:31:50 PM,1,6,sapl0066,0056,0055,2487
2380,2018-05-21,4:32:31 PM,1,6,sapl0066,0057,0056,2488
2381,2018-05-21,4:32:51 PM,1,6,sapl0066,0058,0057,2489
2382,2018-05-21,4:33:17 PM,1,6,sapl0066,0059,0058,2490
2383,2018-05-21,4:37:52 PM,1,6,sapl0066,0060,0059,2491
2384,2018-05-21,4:41:01 PM,1,6,sapl0066,0061,0060,2492
2385,2018-05-21,4:44:25 PM,1,6,sapl0066,0062,0061,2493
2386,2018-05-21,4:44:54 PM,1,6,sapl0066,0063,0062,2494
2387,2018-05-23,2:52:33 PM,1,6,sapl0066,0064,0063,2495
2388,2018-05-29,11:45:33 AM,1,6,sapl0066,0065,0071,2503
2389,2018-05-29,11:47:32 AM,1,6,sapl0066,0066,0072,2504
2390,2018-05-29,11:54:35 AM,1,6,sapl0066,0067,0070,2502
2391,2018-05-29,11:55:30 AM,1,6,sapl0066,0068,0069,2501
2392,2018-05-29,12:11:01 PM,1,6,sapl0066,0069,0068,2500
2393,2018-05-29,2:56:13 PM,1,6,sapl0066,0070,0067,2499
2394,2018-05-29,2:58:36 PM,1,6,sapl0066,0071,0066,2498
2395,2018-05-29,2:59:01 PM,1,6,sapl0066,0072,0065,2497
2396,2018-05-29,2:59:35 PM,1,6,sapl0066,0073,0064,2496
2397,2018-06-05,4:33:35 PM,1,6,Sapl0066,0074,0074,2506
2398,2018-06-07,3:52:24 PM,1,6,Sapl0066,0075,0075,2507
2399,2018-06-07,4:42:01 PM,1,6,sapl0066,0076,0076,2508
2400,2018-06-07,4:58:15 PM,1,6,Sapl0066,0077,0077,2509
2401,2018-06-12,12:03:22 PM,1,6,sapl0054,0078,0078,2510
2402,2018-06-13,10:06:12 AM,1,6,Sapl0066,0079,0079,2511
2403,2018-06-13,10:06:42 AM,1,6,Sapl0066,0080,0073,2505
2404,2018-06-16,1:33:11 PM,1,6,sapl0066,0081,0082,2514
2405,2018-06-16,1:35:27 PM,1,6,sapl0066,0082,0081,2513
2406,2018-06-16,1:36:10 PM,1,6,sapl0066,0083,0080,2512
2407,2018-06-18,10:37:16 AM,1,6,sapl0066,0084,0083,2515
2408,2018-06-19,4:59:53 PM,1,6,sapl0066,0085,0084,2516
2409,2018-06-26,1:18:32 PM,1,6,sapl0066,0086,0085,2517
2410,2018-07-11,7:45:58 PM,1,6,sapl0066,0087,0088,2520
2411,2018-07-11,7:57:08 PM,1,6,sapl0066,0088,0089,2521
2412,2018-07-11,7:58:16 PM,1,6,sapl0066,0089,0090,2522
2413,2018-07-17,2:40:17 PM,1,6,sapl0066,0090,0091,2523
2414,2018-07-17,5:07:12 PM,1,6,sapl0066,0091,0092,2524
2415,2018-07-17,7:20:50 PM,1,6,sapl0066,0092,0093,2525
2416,2018-07-23,12:09:35 PM,1,6,sapl0066,0093,0094,2526
2417,2018-07-26,3:47:27 PM,1,6,sapl0066,0094,0095,2527
2418,2018-07-26,3:47:41 PM,1,6,sapl0066,0095,0096,2528
2419,2018-07-27,10:21:33 AM,1,6,Sapl0066,0096,0097,2529
2420,2018-07-27,10:46:25 AM,1,6,Sapl0066,0097,0098,2530
2421,2018-08-01,11:23:23 AM,1,6,sapl0066,0098,0087,2519
2422,2018-08-01,11:23:45 AM,1,6,sapl0066,0099,0086,2518
2423,2018-08-01,11:28:56 AM,1,6,sapl0066,0100,0099,2531
2424,2018-08-03,8:49:37 AM,1,6,sapl0066,0101,0100,2532
2425,2018-08-03,8:58:08 AM,1,6,sapl0066,0102,0101,2533
2426,2018-08-03,1:22:43 PM,1,6,sapl0066,0103,0102,2534
2427,2018-08-03,1:27:18 PM,1,6,sapl0066,0104,0103,2535
2428,2018-08-13,3:40:59 PM,1,6,Sapl0066,0105,0105,2537
2429,2018-08-13,3:42:27 PM,1,6,Sapl0066,0106,0106,2538
2430,2018-08-14,3:51:53 PM,1,6,sapl0066,0107,0109,2541
2431,2018-08-14,3:59:43 PM,1,6,sapl0066,0108,0108,2540
2432,2018-08-14,4:00:38 PM,1,6,sapl0066,0109,0106,2538
2433,2018-08-16,12:20:44 PM,1,6,Sapl0066,0110,0113,2545
2434,2018-08-16,12:20:59 PM,1,6,Sapl0066,0111,0112,2544
2435,2018-08-16,12:22:06 PM,1,6,Sapl0066,0112,0111,2543
2436,2018-08-16,12:23:04 PM,1,6,Sapl0066,0113,0110,2542
2437,2018-08-17,10:54:11 AM,1,6,sapl0066,0114,0114,2546
