Id,Present,Absent,LateIn,HalfDay,Sunday,Coff,PL,OverTimeHrs,OverTimeRate,Installment,MobileExeAmt,Addition,Remarks1,Deduction,Remarks2,MId
41,18.0,5.5,12.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,176.0,6000.0,Arrears,0.0,-,41
42,12.0,12.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,85.0,0.0,-,0.0,-,42
43,22.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,-,43
44,22.0,1.5,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,-,0.0,-,44
45,22.0,2.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-,0.0,-,45
46,22.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,276.0,0.0,-,0.0,-,46
47,19.0,2.5,0.0,2.5,0.0,0.0,0.5,0.0,0.0,0.0,319.0,7454.0,Arrears,0.0,-,47
48,18.0,5.5,0.0,0.5,1.0,1.0,0.0,0.0,0.0,3182.5,436.0,0.0,-,0.0,-,48
49,20.0,5.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-,0.0,-,49
50,15.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,-,0.0,-,50
52,19.0,5.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-,0.0,-,52
53,23.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-,0.0,-,53
54,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,-,54
55,18.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,-,55
57,22.0,1.5,0.0,0.5,1.0,0.0,0.0,54.0,37.9,0.0,0.0,0.0,-,0.0,-,57
58,21.0,2.5,0.0,0.5,3.0,0.0,0.0,54.0,37.92,0.0,0.0,0.0,-,0.0,-,58
59,21.0,2.5,0.0,0.5,1.0,0.0,0.0,25.5,25.0,0.0,0.0,0.0,-,0.0,-,59
60,20.0,3.0,0.0,1.0,2.0,0.0,0.0,37.0,29.38,0.0,0.0,0.0,-,0.0,-,60
61,18.0,5.5,0.0,0.5,1.0,0.0,1.0,33.5,31.25,0.0,0.0,0.0,-,0.0,-,61
62,22.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,85.0,0.0,-,2914.0,Advance deduction,62
63,21.0,2.0,5.0,1.0,3.5,1.0,0.0,0.0,0.0,0.0,97.0,0.0,-,0.0,-,63
64,12.0,12.0,0.0,1.0,3.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,-,0.0,-,64
65,19.0,4.0,4.0,1.0,2.5,1.0,0.0,0.0,0.0,0.0,181.0,0.0,-,0.0,-,65
66,22.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,-,66
68,24.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,-,68
69,20.0,3.5,2.0,0.5,3.0,1.0,0.0,0.0,0.0,3182.0,275.0,0.0,-,0.0,-,69
