Id,SysDate,SysTime,CompId,FinYearId,SessionId,MRNNo
2433,2018-04-13,5:07:45 PM,1,6,sapl0066,0001
2434,2018-04-13,5:08:34 PM,1,6,sapl0066,0002
2435,2018-04-16,10:31:47 AM,1,6,sapl0279,0003
2436,2018-04-16,10:40:00 AM,1,6,sapl0279,0004
2437,2018-04-17,11:27:28 AM,1,6,sapl0066,0005
2438,2018-04-17,11:28:56 AM,1,6,sapl0066,0006
2439,2018-04-17,11:31:52 AM,1,6,sapl0066,0007
2440,2018-04-17,11:32:22 AM,1,6,sapl0066,0008
2441,2018-04-18,12:14:13 PM,1,6,sapl0282,0009
2442,2018-04-18,1:39:11 PM,1,6,sapl0282,0010
2443,2018-04-18,6:03:38 PM,1,6,sapl0282,0011
2444,2018-04-19,2:43:42 PM,1,6,sapl0282,0012
2445,2018-04-20,4:57:26 PM,1,6,sapl0282,0013
2446,2018-04-23,2:09:07 PM,1,6,sapl0282,0014
2447,2018-04-24,10:35:23 AM,1,6,sapl0219,0015
2448,2018-04-24,11:00:44 AM,1,6,sapl0219,0016
2449,2018-05-02,12:01:13 PM,1,6,Sapl0282,0017
2450,2018-05-02,2:16:07 PM,1,6,sapl0054,0018
2451,2018-05-02,2:16:38 PM,1,6,sapl0054,0019
2452,2018-05-02,2:19:21 PM,1,6,sapl0054,0020
2453,2018-05-02,2:20:57 PM,1,6,sapl0054,0021
2454,2018-05-02,2:21:16 PM,1,6,sapl0054,0022
2455,2018-05-02,2:21:30 PM,1,6,sapl0054,0023
2456,2018-05-02,2:21:41 PM,1,6,sapl0054,0024
2457,2018-05-02,2:23:02 PM,1,6,sapl0054,0025
2458,2018-05-02,2:23:35 PM,1,6,sapl0054,0026
2459,2018-05-02,2:23:45 PM,1,6,sapl0054,0027
2460,2018-05-02,2:23:54 PM,1,6,sapl0054,0028
2461,2018-05-02,2:24:06 PM,1,6,sapl0054,0029
2462,2018-05-02,2:30:32 PM,1,6,sapl0054,0030
2463,2018-05-07,11:05:58 AM,1,6,sapl0054,0031
2464,2018-05-09,3:16:59 PM,1,6,sapl0282,0032
2465,2018-05-11,9:21:24 AM,1,6,sapl0066,0033
2466,2018-05-11,9:22:17 AM,1,6,sapl0066,0034
2467,2018-05-11,9:23:04 AM,1,6,sapl0066,0035
2468,2018-05-11,9:23:19 AM,1,6,sapl0066,0036
2469,2018-05-11,9:25:03 AM,1,6,sapl0066,0037
2470,2018-05-11,9:31:28 AM,1,6,sapl0066,0038
2471,2018-05-11,9:33:11 AM,1,6,sapl0066,0039
2472,2018-05-11,9:33:48 AM,1,6,sapl0066,0040
2473,2018-05-11,9:39:05 AM,1,6,sapl0066,0041
2474,2018-05-11,9:40:36 AM,1,6,sapl0066,0042
2475,2018-05-11,9:42:02 AM,1,6,sapl0066,0043
2476,2018-05-11,9:46:15 AM,1,6,sapl0066,0044
2477,2018-05-11,9:46:29 AM,1,6,sapl0066,0045
2478,2018-05-11,9:46:52 AM,1,6,sapl0066,0046
2479,2018-05-11,9:47:05 AM,1,6,sapl0066,0047
2480,2018-05-11,10:10:46 AM,1,6,sapl0282,0048
2481,2018-05-11,12:15:35 PM,1,6,sapl0282,0049
2482,2018-05-15,10:24:45 AM,1,6,sapl0282,0050
2483,2018-05-18,1:40:46 PM,1,6,sapl0282,0051
2484,2018-05-18,2:21:31 PM,1,6,sapl0282,0052
2485,2018-05-18,3:21:30 PM,1,6,sapl0282,0053
2486,2018-05-21,4:30:42 PM,1,6,sapl0066,0054
2487,2018-05-21,4:31:50 PM,1,6,sapl0066,0055
2488,2018-05-21,4:32:31 PM,1,6,sapl0066,0056
2489,2018-05-21,4:32:51 PM,1,6,sapl0066,0057
2490,2018-05-21,4:33:17 PM,1,6,sapl0066,0058
2491,2018-05-21,4:37:52 PM,1,6,sapl0066,0059
2492,2018-05-21,4:41:01 PM,1,6,sapl0066,0060
2493,2018-05-21,4:44:25 PM,1,6,sapl0066,0061
2494,2018-05-21,4:44:54 PM,1,6,sapl0066,0062
2495,2018-05-23,2:52:33 PM,1,6,sapl0066,0063
2496,2018-05-25,9:19:25 AM,1,6,sapl0282,0064
2497,2018-05-25,9:23:20 AM,1,6,sapl0282,0065
2498,2018-05-25,9:51:52 AM,1,6,sapl0282,0066
2499,2018-05-25,10:16:54 AM,1,6,sapl0282,0067
2500,2018-05-29,12:10:20 PM,1,6,sapl0276,0068
2501,2018-05-25,12:01:51 PM,1,6,sapl0282,0069
2502,2018-05-26,10:41:25 AM,1,6,sapl0282,0070
2503,2018-05-29,11:45:33 AM,1,6,sapl0066,0071
2504,2018-05-29,11:47:32 AM,1,6,sapl0066,0072
2505,2018-06-04,9:30:22 AM,1,6,sapl0219,0073
2506,2018-06-05,4:33:02 PM,1,6,sapl0282,0074
2507,2018-06-07,3:51:41 PM,1,6,sapl0282,0075
2508,2018-06-07,4:38:58 PM,1,6,Sapl0276,0076
2509,2018-06-07,4:57:34 PM,1,6,Sapl0276,0077
2510,2018-06-12,12:03:22 PM,1,6,sapl0054,0078
2511,2018-06-13,9:45:24 AM,1,6,sapl0276,0079
2512,2018-06-13,12:25:58 PM,1,6,sapl0276,0080
2513,2018-06-16,10:13:52 AM,1,6,sapl0282,0081
2514,2018-06-16,11:46:18 AM,1,6,sapl0282,0082
